Date,Description,Amount
2026-01-02,PAYROLL DIRECT DEP ACME CORP,3200.00
2026-01-02,TRADER JOES #212,-84.31
2026-01-03,NETFLIX.COM,-15.49
2026-01-03,SPOTIFY USA,-10.99
2026-01-04,SHELL OIL 4471,-52.10
2026-01-05,RENT NORTHWIND PROPERTIES,-1850.00
2026-01-06,STARBUCKS #5567,-6.75
2026-01-06,AMAZON MKTPLACE,-38.20
2026-01-08,UBER TRIP,-19.40
2026-01-09,WHOLE FOODS MARKET,-72.66
2026-01-10,PLANET FITNESS,-24.99
2026-01-11,STARBUCKS #5567,-5.45
2026-01-12,ADOBE CREATIVE CLOUD,-54.99
2026-01-14,COMCAST XFINITY,-89.00
2026-01-15,DOORDASH,-34.80
2026-01-16,SHELL OIL 4471,-48.90
2026-01-17,TRADER JOES #212,-63.14
2026-01-18,STARBUCKS #5567,-6.75
2026-01-19,APPLE.COM/BILL,-2.99
2026-01-20,CVS PHARMACY,-27.43
2026-01-22,DELTA AIR LINES,-312.40
2026-01-24,AMAZON MKTPLACE,-19.99
2026-01-25,DOORDASH,-41.20
2026-01-27,PG&E UTILITY,-110.55
2026-01-28,STARBUCKS #5567,-5.45
2026-01-29,OLD GYM MEMBERSHIP LLC,-39.99
2026-02-01,PAYROLL DIRECT DEP ACME CORP,3200.00
2026-02-02,TRADER JOES #212,-91.02
2026-02-03,NETFLIX.COM,-15.49
2026-02-03,SPOTIFY USA,-10.99
2026-02-04,RENT NORTHWIND PROPERTIES,-1850.00
2026-02-05,SHELL OIL 4471,-50.30
2026-02-06,STARBUCKS #5567,-6.75
2026-02-07,AMAZON MKTPLACE,-58.75
2026-02-09,WHOLE FOODS MARKET,-80.14
2026-02-10,PLANET FITNESS,-24.99
2026-02-11,ADOBE CREATIVE CLOUD,-54.99
2026-02-12,DOORDASH,-29.60
2026-02-13,STARBUCKS #5567,-5.45
2026-02-14,COMCAST XFINITY,-89.00
2026-02-15,APPLE.COM/BILL,-2.99
2026-02-16,UBER TRIP,-22.10
2026-02-18,CVS PHARMACY,-31.20
2026-02-20,DOORDASH,-45.90
2026-02-22,OLD GYM MEMBERSHIP LLC,-39.99
2026-02-24,PG&E UTILITY,-118.20
2026-02-26,STARBUCKS #5567,-6.75
2026-02-27,AMAZON MKTPLACE,-24.30
2026-02-28,SPOTIFY USA,-10.99
